circuit,layer,terms,t_c0lin,t_c2,t_dual,t_standalone,groups,group_median,group_p90,group_max,imm_free,imm_bf,full_term,full_rel,bfe4_rel,saving_pct_karatsuba,saving_pct_schoolbook
add_sub_lui_auipc_mop,0,150,41,0,109,0,72,1,3,17,120,30,477,336,58,24.16,26.52
add_sub_lui_auipc_mop,1,21,9,0,12,1,18,1,1,2,21,0,57,52,0,8.77,8.77
add_sub_lui_auipc_mop,2,13,5,0,8,1,10,1,2,2,13,0,37,31,0,16.22,16.22
add_sub_lui_auipc_mop,3,9,6,0,3,2,7,1,1,1,9,0,18,14,0,22.22,22.22
bigint_with_extended_control,0,1709,237,0,1472,0,425,1,10,49,1393,316,6125,3691,593,35.44,37.32
bigint_with_extended_control,1,133,28,0,105,1,96,1,2,2,133,0,448,384,0,14.29,14.29
bigint_with_extended_control,2,68,7,0,61,1,48,1,2,2,68,0,251,212,0,15.54,15.54
bigint_with_extended_control,3,37,5,0,32,1,26,1,2,2,37,0,133,112,0,15.79,15.79
bigint_with_extended_control,4,20,3,0,17,1,14,1,2,2,20,0,71,60,0,15.49,15.49
bigint_with_extended_control,5,12,1,0,11,1,8,1,2,2,12,0,45,37,0,17.78,17.78
blake2_g_function,0,157,103,0,54,0,104,1,2,8,135,22,319,266,22,13.55,14.89
blake2_g_function,1,40,7,0,33,1,30,1,2,2,40,0,139,120,0,13.67,13.67
blake2_g_function,2,22,5,0,17,1,16,1,2,2,22,0,73,62,0,15.07,15.07
blake2_g_function,3,13,5,0,8,1,10,1,2,2,13,0,37,32,0,13.51,13.51
blake2_g_function,4,9,1,0,8,1,6,1,2,2,9,0,33,27,0,18.18,18.18
blake2_with_extended_control,0,1791,893,0,898,0,910,1,4,10,1572,219,4485,3200,235,26.32,27.34
blake2_with_extended_control,1,251,9,0,242,1,178,1,2,2,251,0,977,832,0,14.84,14.84
blake2_with_extended_control,2,128,7,0,121,1,90,1,2,2,128,0,491,416,0,15.27,15.27
blake2_with_extended_control,3,66,3,0,63,1,46,1,2,2,66,0,255,216,0,15.29,15.29
blake2_with_extended_control,4,35,3,0,32,1,24,1,2,2,35,0,131,110,0,16.03,16.03
blake2_with_extended_control,5,19,5,0,14,1,14,1,2,2,19,0,61,52,0,14.75,14.75
blake2_with_extended_control,6,12,1,0,11,1,8,1,2,2,12,0,45,37,0,17.78,17.78
blake2_with_extended_control,7,7,4,0,3,2,5,1,1,1,7,0,16,12,0,25.00,25.00
inits_and_teardowns_preprocessed,0,325,66,0,259,0,213,2,2,2,322,3,1102,878,4,20.17,20.24
inits_and_teardowns_preprocessed,1,8,0,0,8,1,7,1,1,1,8,0,32,30,0,6.25,6.25
inits_and_teardowns_preprocessed,2,4,0,0,4,1,3,1,1,1,4,0,16,14,0,12.50,12.50
inits_and_teardowns_preprocessed,3,2,0,0,2,1,1,1,1,1,2,0,8,6,0,25.00,25.00
jump_branch_slt,0,143,45,0,98,0,74,1,2,14,119,24,437,316,43,23.32,25.23
jump_branch_slt,1,23,11,0,12,1,20,1,1,2,23,0,59,54,0,8.47,8.47
jump_branch_slt,2,14,3,0,11,1,10,1,2,2,14,0,47,39,0,17.02,17.02
jump_branch_slt,3,9,6,0,3,2,7,1,1,1,9,0,18,14,0,22.22,22.22
keccak_special5,0,1418,243,0,1175,0,555,1,5,20,968,450,4943,3378,826,24.23,27.48
keccak_special5,1,66,5,0,61,1,48,1,2,2,66,0,249,214,0,14.06,14.06
keccak_special5,2,34,3,0,31,1,24,1,2,2,34,0,127,108,0,14.96,14.96
keccak_special5,3,18,1,0,17,1,12,1,2,2,18,0,69,58,0,15.94,15.94
keccak_special5,4,11,3,0,8,1,8,1,2,2,11,0,35,29,0,17.14,17.14
keccak_special5,5,7,4,0,3,2,5,1,1,1,7,0,16,12,0,25.00,25.00
mem_subword_only,0,93,46,0,47,0,72,1,2,4,69,24,234,202,36,6.84,9.83
mem_subword_only,1,35,12,0,23,3,25,1,2,3,35,0,104,86,0,17.31,17.31
mem_subword_only,2,16,7,0,9,1,14,1,1,2,16,0,43,39,0,9.30,9.30
mem_subword_only,3,9,6,0,3,2,7,1,1,1,9,0,18,14,0,22.22,22.22
mem_word_only,0,75,40,0,35,0,52,1,2,4,56,19,180,149,29,10.06,13.19
mem_word_only,1,27,14,0,13,1,23,1,1,2,26,1,66,60,2,7.74,8.33
mem_word_only,2,16,7,0,9,1,14,1,1,2,16,0,43,39,0,9.30,9.30
mem_word_only,3,9,6,0,3,2,7,1,1,1,9,0,18,14,0,22.22,22.22
shift_binop,0,96,29,0,67,0,80,1,2,3,86,10,297,271,16,6.36,7.41
shift_binop,1,26,13,0,13,1,22,1,1,2,26,0,65,60,0,7.69,7.69
shift_binop,2,15,7,0,8,1,12,1,1,2,15,0,39,33,0,15.38,15.38
shift_binop,3,10,4,0,6,2,7,1,1,2,10,0,28,22,0,21.43,21.43
unified_reduced_machine,0,503,79,0,424,0,269,1,4,17,421,82,1775,1324,157,21.48,23.20
unified_reduced_machine,1,38,17,0,21,1,32,1,2,2,38,0,101,92,0,8.91,8.91
unified_reduced_machine,2,21,7,0,14,1,16,1,2,2,21,0,63,53,0,15.87,15.87
unified_reduced_machine,3,13,4,0,9,2,9,1,2,2,13,0,40,32,0,20.00,20.00
unsigned_mul_div,0,116,48,0,68,0,76,1,2,4,108,8,320,252,14,19.31,20.16
unsigned_mul_div,1,78,24,0,54,1,39,1,4,8,57,21,240,174,35,21.02,23.85
unsigned_mul_div,2,18,7,0,11,1,14,1,2,2,18,0,51,43,0,15.69,15.69
